crash_date,crash_time,borough,zip_code,latitude,longitude,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,collision_id,vehicle_type_code1,location.latitude,location.longitude,location.human_address,on_street_name,off_street_name,vehicle_type_code2,contributing_factor_vehicle_3,vehicle_type_code_3
2025-09-30T00:00:00.000,6:30,QUEENS,11412,40.69665,-73.769295,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4846256,Station Wagon/Sport Utility Vehicle,40.69665,-73.769295,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",DUNKIRK ST,MURDOCK AVE,Van,,
2025-09-30T00:00:00.000,0:00,QUEENS,11373,40.734737,-73.87226,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4846995,Station Wagon/Sport Utility Vehicle,40.734737,-73.87226,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",57 AVE,90 ST,Station Wagon/Sport Utility Vehicle,,
2025-09-30T00:00:00.000,17:30,QUEENS,11357,40.776848,-73.826836,141-23    25 AVE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4846517,Station Wagon/Sport Utility Vehicle,40.776848,-73.826836,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,Station Wagon/Sport Utility Vehicle,,
2025-09-30T00:00:00.000,14:01,,,40.719666,-73.9444,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,4846407,Sedan,40.719666,-73.9444,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",BROOKLYN QUEENS EXPRESSWAY RAMP,,,,
2025-09-30T00:00:00.000,15:00,BROOKLYN,11229,40.601055,-73.936195,,1,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4846670,Station Wagon/Sport Utility Vehicle,40.601055,-73.936195,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",AVENUE U,BRAGG ST,Standing S,,
2025-09-30T00:00:00.000,14:02,QUEENS,11370,40.76513,-73.893196,75-20     ASTORIA BLVD S,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,4846712,Station Wagon/Sport Utility Vehicle,40.76513,-73.893196,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,Station Wagon/Sport Utility Vehicle,,
2025-09-30T00:00:00.000,11:40,BROOKLYN,11225,0.0000000,0.0000000,558       BROOKLYN AVE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Backing Unsafely,4846873,Garbage or Refuse,0.0,0.0,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,Sedan,,
2025-09-30T00:00:00.000,14:35,BROOKLYN,11219,40.626183,-73.99415,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,4846443,Station Wagon/Sport Utility Vehicle,40.626183,-73.99415,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",60 ST,15 AVE,Bus,,
2025-09-30T00:00:00.000,15:50,QUEENS,11354,40.763943,-73.82815,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,4846478,Station Wagon/Sport Utility Vehicle,40.763943,-73.82815,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NORTHERN BLVD,UNION ST,Station Wagon/Sport Utility Vehicle,,
2025-09-30T00:00:00.000,11:00,MANHATTAN,10019,40.76086,-73.97659,1         W 53 ST,2,0,1,0,0,0,1,0,Driver Inattention/Distraction,,4846355,Box Truck,40.76086,-73.97659,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,,,
