crash_date,crash_time,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,collision_id,vehicle_type_code1,vehicle_type_code2,latitude,longitude,location.latitude,location.longitude,on_street_name,off_street_name,borough,zip_code,contributing_factor_vehicle_3,vehicle_type_code_3,cross_street_name,contributing_factor_vehicle_4,vehicle_type_code_4,contributing_factor_vehicle_5,vehicle_type_code_5
2012-07-02T00:00:00.000,15:30,0,0,0,0,0,0,0,0,Unspecified,Unspecified,245574,PICK-UP TRUCK,LARGE COM VEH(6 OR MORE TIRES),40.7675006,-73.8330144,40.7675006,-73.8330144,FARRINGTON STREET               ,32 AVENUE                       ,QUEENS,11354,,,,,,,
2012-07-02T00:00:00.000,8:20,0,0,0,0,0,0,0,0,Unspecified,Unspecified,155804,PASSENGER VEHICLE,UNKNOWN,40.6451730,-74.0210011,40.645173,-74.0210011,57 STREET                       ,2 AVENUE                        ,BROOKLYN,11220,,,,,,,
2012-07-02T00:00:00.000,11:30,0,0,0,0,0,0,0,0,Unspecified,Unspecified,94870,UNKNOWN,PASSENGER VEHICLE,40.8892232,-73.8596822,40.8892232,-73.8596822,WHITE PLAINS ROAD               ,EAST 227 STREET                 ,BRONX,10466,,,,,,,
2012-07-02T00:00:00.000,23:00,0,0,0,0,0,0,0,0,Unspecified,Unspecified,125680,SPORT UTILITY / STATION WAGON,LARGE COM VEH(6 OR MORE TIRES),40.6264564,-73.9179932,40.6264564,-73.9179932,RALPH AVENUE                    ,AVENUE K                        ,BROOKLYN,11234,,,,,,,
2012-07-02T00:00:00.000,2:00,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,3096745,MOTORCYCLE,SPORT UTILITY / STATION WAGON,40.6817395,-73.8050906,40.6817395,-73.8050906,,,,,,,,,,,
2012-07-02T00:00:00.000,15:00,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,293156,PASSENGER VEHICLE,PASSENGER VEHICLE,40.5584106,-74.1693169,40.5584106,-74.1693169,RICHMOND AVENUE                 ,BRANDIS AVENUE                  ,STATEN ISLAND,10312,,,,,,,
2012-07-02T00:00:00.000,8:55,0,0,0,0,0,0,0,0,Unspecified,Unspecified,94895,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,40.8730664,-73.8584326,40.8730664,-73.8584326,PAULDING AVENUE                 ,DUNCAN STREET                   ,BRONX,10469,,,,,,,
2012-07-02T00:00:00.000,1:30,0,0,0,0,0,0,0,0,Unspecified,Unspecified,109488,PASSENGER VEHICLE,PASSENGER VEHICLE,40.8685644,-73.8965615,40.8685644,-73.8965615,JEROME AVENUE                   ,WEST 195 STREET                 ,BRONX,10468,,,,,,,
2012-07-02T00:00:00.000,8:00,1,0,1,0,0,0,0,0,Other Vehicular,Other Vehicular,44919,TAXI,OTHER,40.7697502,-73.9606016,40.7697502,-73.9606016,EAST 72 STREET                  ,3 AVENUE                        ,MANHATTAN,10021,Other Vehicular,PICK-UP TRUCK,,,,,
2012-07-02T00:00:00.000,12:00,0,0,0,0,0,0,0,0,Unspecified,Unspecified,245583,LARGE COM VEH(6 OR MORE TIRES),UNKNOWN,40.7847247,-73.8394241,40.7847247,-73.8394241,15 AVENUE                       ,129 STREET                      ,QUEENS,11356,,,,,,,
2012-07-02T00:00:00.000,6:50,0,0,0,0,0,0,0,0,Unspecified,Unspecified,160108,PASSENGER VEHICLE,LARGE COM VEH(6 OR MORE TIRES),40.6684158,-73.9104149,40.6684158,-73.9104149,ROCKAWAY AVENUE                 ,BELMONT AVENUE                  ,BROOKLYN,11212,,,,,,,
2012-07-02T00:00:00.000,17:00,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,293163,PASSENGER VEHICLE,PASSENGER VEHICLE,40.5664967,-74.1137614,40.5664967,-74.1137614,HYLAN BOULEVARD                 ,ALLISON AVENUE                  ,STATEN ISLAND,10306,,,,,,,
2012-07-02T00:00:00.000,16:54,3,0,0,0,0,0,3,0,Unspecified,Unspecified,219421,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,40.6756639,-73.7524710,40.6756639,-73.752471,137 AVENUE                      ,219 STREET                      ,QUEENS,11413,Unspecified,SPORT UTILITY / STATION WAGON,,,,,
2012-07-02T00:00:00.000,9:20,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,5301,PASSENGER VEHICLE,BUS,40.7190477,-73.9964791,40.7190477,-73.9964791,GRAND STREET                    ,MOTT STREET                     ,MANHATTAN,10013,,,,,,,
2012-07-02T00:00:00.000,13:45,0,0,0,0,0,0,0,0,Unspecified,Unspecified,32054,PASSENGER VEHICLE,TAXI,40.7457274,-73.9781227,40.7457274,-73.9781227,EAST 34 STREET                  ,3 AVENUE                        ,MANHATTAN,10016,,,,,,,
2012-07-02T00:00:00.000,16:45,0,0,0,0,0,0,0,0,Unspecified,Unspecified,198162,VAN,OTHER,40.7226015,-73.9371074,40.7226015,-73.9371074,VANDERVOORT AVENUE              ,LOMBARDY STREET                 ,BROOKLYN,11222,,,,,,,
